Section,Call Count,Total Time,Min Time,Max Time,Average Time,File,Function,Line
Insertion Sort,1,2.33389e-06,2.33389e-06,2.33389e-06,2.33389e-06,main.cpp,quicksort,37
Quicksort,1,7.70949e-06,7.70949e-06,7.70949e-06,7.70949e-06,main.cpp,main,80
